"id2","GEO.id2","GEO.display-label","GCT_STUB.target-geo-id","id","countyName","density"
"0400000US54",54,"West Virginia","0500000US54001",54001,"Barbour County",48.6
"0400000US54",54,"West Virginia","0500000US54003",54003,"Berkeley County",324.4
"0400000US54",54,"West Virginia","0500000US54005",54005,"Boone County",49.1
"0400000US54",54,"West Virginia","0500000US54007",54007,"Braxton County",28.4
"0400000US54",54,"West Virginia","0500000US54009",54009,"Brooke County",269.8
"0400000US54",54,"West Virginia","0500000US54011",54011,"Cabell County",342.8
"0400000US54",54,"West Virginia","0500000US54013",54013,"Calhoun County",27.3
"0400000US54",54,"West Virginia","0500000US54015",54015,"Clay County",27.5
"0400000US54",54,"West Virginia","0500000US54017",54017,"Doddridge County",25.7
"0400000US54",54,"West Virginia","0500000US54019",54019,"Fayette County",69.6
"0400000US54",54,"West Virginia","0500000US54021",54021,"Gilmer County",25.7
"0400000US54",54,"West Virginia","0500000US54023",54023,"Grant County",25
"0400000US54",54,"West Virginia","0500000US54025",54025,"Greenbrier County",34.8
"0400000US54",54,"West Virginia","0500000US54027",54027,"Hampshire County",37.4
"0400000US54",54,"West Virginia","0500000US54029",54029,"Hancock County",371.3
"0400000US54",54,"West Virginia","0500000US54031",54031,"Hardy County",24.1
"0400000US54",54,"West Virginia","0500000US54033",54033,"Harrison County",166.1
"0400000US54",54,"West Virginia","0500000US54035",54035,"Jackson County",62.9
"0400000US54",54,"West Virginia","0500000US54037",54037,"Jefferson County",255.2
"0400000US54",54,"West Virginia","0500000US54039",54039,"Kanawha County",214.1
"0400000US54",54,"West Virginia","0500000US54041",54041,"Lewis County",42.5
"0400000US54",54,"West Virginia","0500000US54043",54043,"Lincoln County",49.7
"0400000US54",54,"West Virginia","0500000US54045",54045,"Logan County",81
"0400000US54",54,"West Virginia","0500000US54047",54047,"McDowell County",41.5
"0400000US54",54,"West Virginia","0500000US54049",54049,"Marion County",182.7
"0400000US54",54,"West Virginia","0500000US54051",54051,"Marshall County",108.4
"0400000US54",54,"West Virginia","0500000US54053",54053,"Mason County",63.4
"0400000US54",54,"West Virginia","0500000US54055",54055,"Mercer County",148.6
"0400000US54",54,"West Virginia","0500000US54057",54057,"Mineral County",86.1
"0400000US54",54,"West Virginia","0500000US54059",54059,"Mingo County",63.4
"0400000US54",54,"West Virginia","0500000US54061",54061,"Monongalia County",267.1
"0400000US54",54,"West Virginia","0500000US54063",54063,"Monroe County",28.6
"0400000US54",54,"West Virginia","0500000US54065",54065,"Morgan County",76.6
"0400000US54",54,"West Virginia","0500000US54067",54067,"Nicholas County",40.6
"0400000US54",54,"West Virginia","0500000US54069",54069,"Ohio County",420
"0400000US54",54,"West Virginia","0500000US54071",54071,"Pendleton County",11.1
"0400000US54",54,"West Virginia","0500000US54073",54073,"Pleasants County",58.5
"0400000US54",54,"West Virginia","0500000US54075",54075,"Pocahontas County",9.3
"0400000US54",54,"West Virginia","0500000US54077",54077,"Preston County",51.7
"0400000US54",54,"West Virginia","0500000US54079",54079,"Putnam County",160.5
"0400000US54",54,"West Virginia","0500000US54081",54081,"Raleigh County",130.3
"0400000US54",54,"West Virginia","0500000US54083",54083,"Randolph County",28.3
"0400000US54",54,"West Virginia","0500000US54085",54085,"Ritchie County",23.1
"0400000US54",54,"West Virginia","0500000US54087",54087,"Roane County",30.9
"0400000US54",54,"West Virginia","0500000US54089",54089,"Summers County",38.6
"0400000US54",54,"West Virginia","0500000US54091",54091,"Taylor County",97.8
"0400000US54",54,"West Virginia","0500000US54093",54093,"Tucker County",17
"0400000US54",54,"West Virginia","0500000US54095",54095,"Tyler County",35.9
"0400000US54",54,"West Virginia","0500000US54097",54097,"Upshur County",68.4
"0400000US54",54,"West Virginia","0500000US54099",54099,"Wayne County",84
"0400000US54",54,"West Virginia","0500000US54101",54101,"Webster County",16.5
"0400000US54",54,"West Virginia","0500000US54103",54103,"Wetzel County",46.3
"0400000US54",54,"West Virginia","0500000US54105",54105,"Wirt County",24.6
"0400000US54",54,"West Virginia","0500000US54107",54107,"Wood County",237.4
"0400000US54",54,"West Virginia","0500000US54109",54109,"Wyoming County",47.6
